country,countryLabel,leader,leaderLabel,age
http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q318508,Andrés Manuel López Obrador,1953-11-13T00:00:00Z
http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q348144,Hassan Rouhani,1948-11-12T00:00:00Z
http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q359480,Fumio Kishida,1957-07-29T00:00:00Z
http://www.wikidata.org/entity/Q769,Grenada,http://www.wikidata.org/entity/Q370110,Keith Mitchell,1946-11-12T00:00:00Z
http://www.wikidata.org/entity/Q189,Iceland,http://www.wikidata.org/entity/Q467464,Katrín Jakobsdóttir,1976-02-01T00:00:00Z
http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q467948,Jonas Gahr Støre,1960-08-25T00:00:00Z
http://www.wikidata.org/entity/Q766,Jamaica,http://www.wikidata.org/entity/Q505200,Andrew Holness,1972-07-22T00:00:00Z
http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q552751,Kyriakos Mitsotakis,1968-03-04T00:00:00Z
http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q610788,António Costa,1961-07-17T00:00:00Z
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q718601,Nana Akufo-Addo,1944-03-29T00:00:00Z
http://www.wikidata.org/entity/Q27,Republic of Ireland,http://www.wikidata.org/entity/Q920403,Micheál Martin,1960-08-01T00:00:00Z
http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q1148669,Matamela Cyril Ramaphosa,1952-11-17T00:00:00Z
http://www.wikidata.org/entity/Q229,Cyprus,http://www.wikidata.org/entity/Q2112764,Nikos Anastasiades,1946-09-27T00:00:00Z
http://www.wikidata.org/entity/Q774,Guatemala,http://www.wikidata.org/entity/Q2134696,Alejandro Giammattei,1956-03-09T00:00:00Z
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q2642828,Alberto Fernández,1959-04-02T00:00:00Z
http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q3099714,Justin Trudeau,1971-12-25T00:00:00Z
http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q3171170,Jean Castex,1965-06-25T00:00:00Z
http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q3318231,Joko Widodo,1961-06-21T00:00:00Z
http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q3377548,Petr Fiala,1964-09-01T00:00:00Z
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,http://www.wikidata.org/entity/Q3529064,Timothy Harris,1964-01-14T00:00:00Z
http://www.wikidata.org/entity/Q664,New Zealand,http://www.wikidata.org/entity/Q3606816,Jacinda Ardern,1980-07-26T00:00:00Z
http://www.wikidata.org/entity/Q211,Latvia,http://www.wikidata.org/entity/Q3736499,Krišjānis Kariņš,1964-12-13T00:00:00Z
http://www.wikidata.org/entity/Q736,Ecuador,http://www.wikidata.org/entity/Q4414537,Guillermo Lasso,1945-11-16T00:00:00Z
http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q4935873,Magdalena Andersson,1967-01-23T00:00:00Z
http://www.wikidata.org/entity/Q683,Samoa,http://www.wikidata.org/entity/Q5446290,Fiamē Naomi Mataʻafa,1957-04-29T00:00:00Z
http://www.wikidata.org/entity/Q783,Honduras,http://www.wikidata.org/entity/Q5951723,Juan Orlando Hernández,1968-10-28T00:00:00Z
http://www.wikidata.org/entity/Q691,Papua New Guinea,http://www.wikidata.org/entity/Q6138903,James Marape,1971-04-24T00:00:00Z
http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q6378927,Kausea Natano,1957-01-01T00:00:00Z
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,http://www.wikidata.org/entity/Q6384971,Keith Rowley,1949-10-24T00:00:00Z
http://www.wikidata.org/entity/Q25,Wales,http://www.wikidata.org/entity/Q6767407,Mark Drakeford,1954-09-19T00:00:00Z
http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q6800406,Luis Lacalle Pou,1973-08-11T00:00:00Z
http://www.wikidata.org/entity/Q685,Solomon Islands,http://www.wikidata.org/entity/Q7331464,Rick Hou,1958-08-08T00:00:00Z
http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q7436908,Scott Morrison,1968-05-13T00:00:00Z
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q10304982,Jair Bolsonaro,1955-03-21T00:00:00Z
http://www.wikidata.org/entity/Q224,Croatia,http://www.wikidata.org/entity/Q11685764,Andrej Plenković,1970-04-08T00:00:00Z
http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q11771436,Mateusz Morawiecki,1968-06-20T00:00:00Z
http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q11869065,Kaja Kallas,1977-06-18T00:00:00Z
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q16149892,Luis Arce,1963-09-28T00:00:00Z
http://www.wikidata.org/entity/Q686,Vanuatu,http://www.wikidata.org/entity/Q16190741,Bob Loughman,1961-03-08T00:00:00Z
http://www.wikidata.org/entity/Q760,Saint Lucia,http://www.wikidata.org/entity/Q16203640,Allen Chastanet,1960-11-20T00:00:00Z
http://www.wikidata.org/entity/Q778,The Bahamas,http://www.wikidata.org/entity/Q16732648,Hubert Minnis,1954-04-16T00:00:00Z
http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q16986436,Sanna Marin,1985-11-16T00:00:00Z
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,http://www.wikidata.org/entity/Q17177542,Gaston Browne,1967-02-09T00:00:00Z
http://www.wikidata.org/entity/Q739,Colombia,http://www.wikidata.org/entity/Q17478000,Iván Duque,1976-08-01T00:00:00Z
http://www.wikidata.org/entity/Q792,El Salvador,http://www.wikidata.org/entity/Q17712353,Nayib Bukele,1981-07-24T00:00:00Z
http://www.wikidata.org/entity/Q709,Marshall Islands,http://www.wikidata.org/entity/Q20090884,Hilda C. Heine,1951-04-06T00:00:00Z
http://www.wikidata.org/entity/Q228,Andorra,http://www.wikidata.org/entity/Q21001195,Xavier Espot Zamora,1979-10-30T00:00:00Z
http://www.wikidata.org/entity/Q710,Kiribati,http://www.wikidata.org/entity/Q23034482,Taneti Maamau,1960-09-16T00:00:00Z
http://www.wikidata.org/entity/Q711,Mongolia,http://www.wikidata.org/entity/Q24248226,Oyunerdene Luvsannamsrai,1980-06-29T00:00:00Z
http://www.wikidata.org/entity/Q695,Palau,http://www.wikidata.org/entity/Q26703072,Surangel Whipps Jr.,1968-08-09T00:00:00Z
http://www.wikidata.org/entity/Q800,Costa Rica,http://www.wikidata.org/entity/Q26996246,Carlos Alvarado Quesada,1980-01-14T00:00:00Z
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q27043179,Roman Golovchenko,1973-08-10T00:00:00Z
http://www.wikidata.org/entity/Q265,Uzbekistan,http://www.wikidata.org/entity/Q28002959,Abdulla Nigmatovich Aripov,1961-05-24T00:00:00Z
http://www.wikidata.org/entity/Q218,Romania,http://www.wikidata.org/entity/Q28950289,Nicolae Ciucă,1967-02-07T00:00:00Z
http://www.wikidata.org/entity/Q347,Liechtenstein,http://www.wikidata.org/entity/Q30882650,Daniel Risch,1978-03-05T00:00:00Z
http://www.wikidata.org/entity/Q233,Malta,http://www.wikidata.org/entity/Q37860840,Robert Abela,1977-12-07T00:00:00Z
http://www.wikidata.org/entity/Q214,Slovakia,http://www.wikidata.org/entity/Q46227987,Eduard Heger,1976-05-03T00:00:00Z
http://www.wikidata.org/entity/Q733,Paraguay,http://www.wikidata.org/entity/Q48136013,Mario Abdo Benítez,1971-11-10T00:00:00Z
http://www.wikidata.org/entity/Q115,Ethiopia,http://www.wikidata.org/entity/Q50365049,Abiy Ahmed Ali,1976-08-15T00:00:00Z
http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q54901515,Moustafa Madbouly,1966-04-28T00:00:00Z
http://www.wikidata.org/entity/Q423,North Korea,http://www.wikidata.org/entity/Q56818689,Kim Jae-ryong,1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q56825894,Alihan Smaiylov,1972-12-18T00:00:00Z
http://www.wikidata.org/entity/Q717,Venezuela,http://www.wikidata.org/entity/Q58833335,Juan Guaidó,1983-07-28T00:00:00Z
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,http://www.wikidata.org/entity/Q63872093,David W. Panuelo,1964-04-13T00:00:00Z
http://www.wikidata.org/entity/Q40,Republic of Austria,http://www.wikidata.org/entity/Q64168538,Alexander Schallenberg,1969-06-20T00:00:00Z
http://www.wikidata.org/entity/Q697,Nauru,http://www.wikidata.org/entity/Q66765492,Lionel Aingimea,1969-01-01T00:00:00Z
http://www.wikidata.org/entity/Q241,Cuba,http://www.wikidata.org/entity/Q79358625,Manuel Marrero Cruz,1963-07-11T00:00:00Z
http://www.wikidata.org/entity/Q796,Iraq,http://www.wikidata.org/entity/Q85317569,Mustafa Al-Kadhimi,1967-07-05T00:00:00Z
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q96612848,Aymen Benabderrahmane,1966-08-30T00:00:00Z
http://www.wikidata.org/entity/Q236,Montenegro,http://www.wikidata.org/entity/Q97999161,Zdravko Krivokapić,1958-09-02T00:00:00Z
http://www.wikidata.org/entity/Q734,Guyana,http://www.wikidata.org/entity/Q98053664,Mark Phillips,1961-10-05T00:00:00Z
http://www.wikidata.org/entity/Q419,Peru,http://www.wikidata.org/entity/Q103838608,Pedro Castillo,1969-10-19T00:00:00Z
http://www.wikidata.org/entity/Q790,Haiti,http://www.wikidata.org/entity/Q106496152,Claude Joseph,1960-04-04T00:00:00Z
