scientist,scientistLabel,sitelinks,country,countryLabel
http://www.wikidata.org/entity/Q106803363,Angela Musiimenta,1,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q5216420,Daniel Annerose,1,http://www.wikidata.org/entity/Q1041,Senegal
http://www.wikidata.org/entity/Q2848413,Andrﾃｩ Pelletan,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2965289,Christian Gautier,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2994957,Constantin Chilowski,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2977423,Claude Frﾃｩjacques,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3081701,Francis Temperville,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3089698,Frﾃｩdﾃｩric Chaplet,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3165021,Jean-Claude Heudin,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3188663,Jules Hermann,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3262135,Louis Hackspill,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3340951,Nicolas de Meissas,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3308950,Michel Batisse,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3343497,Norbert Gualde,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3384709,Pierre Depoid,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3513901,Taher Movassaghian,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3588318,ﾃ・mile Baillaud,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3591079,ﾃ・ric Demay,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4216012,Q4216012,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4228660,Grﾃｩgoire Kolpaktchy,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4480414,Justin Favier,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q5562060,Gilles Hilary,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q5905849,Hyppolite Janvier,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q6842237,Midhat J. Gazalﾃｩ,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q9189076,Charles Thibault,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15064262,Aleksandr Baykov,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15407051,Geneviﾃｨve Calame-Griaule,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15970636,Jean-Louis Coatrieux,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15728399,Marcel Delage,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16187082,Claude-Pierre Molard,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q18117844,Eugﾃｨne Rousseaux,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q18288897,Bernard Maitte,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q19802237,Marie du Moulin,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q19918441,Charles-Franﾃｧois Chevﾃｩ,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q20511321,Armenag Salmaslian,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q21658096,Charles Revillout,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q24010039,Jean-Jacques Etienne Baudouin,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q27918569,Paco Cﾃ｡rdenas,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q30118214,Henri Bourlﾃｨs,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q47124779,Louis de Puget,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q52151590,Jean-Louis Salager,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q50377902,Katia Zanier,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q55186309,Henzel Geghamyan,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q58181999,Chloﾃｩ Journo,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q59269811,Georges Lapicque,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q60829826,Anne Fornier,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q66225622,Jules Laveiriﾃｨre,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q68163835,Jennifer Rupp,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q85988262,Q85988262,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q96107342,Alain Bouthier,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q96181341,Jean Dragesco,1,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q94904934,Achille Penot,1,http://www.wikidata.org/entity/Q142,France
