,country,number,item,item_id,shortform,pageid,wikidata_description
1013,Estonia,34.0,Edgar de Wahl,http://www.wikidata.org/entity/Q327195,wd:Q327195,1027431,Baltic German linguist
1014,Estonia,33.0,Alexander Gorchakov,http://www.wikidata.org/entity/Q327020,wd:Q327020,1270329,"Russian diplomat, minister, chancellor (1798-1883)"
1015,Estonia,32.0,Paul von Rennenkampf,http://www.wikidata.org/entity/Q4012,wd:Q4012,1299895,Russian general (1854-1918)
1016,Estonia,32.0,Johann Voldemar Jannsen,http://www.wikidata.org/entity/Q362138,wd:Q362138,881417,Estonian writer
1017,Estonia,31.0,Aleksander Klumberg,http://www.wikidata.org/entity/Q512850,wd:Q512850,7126068,Estonian athlete (1899-1958)
1018,Estonia,31.0,Alfred Neuland,http://www.wikidata.org/entity/Q729299,wd:Q729299,15304281,Estonian weightlifter
1019,Latvia,31.0,Alfred Neuland,http://www.wikidata.org/entity/Q729299,wd:Q729299,15304281,Estonian weightlifter
1020,Estonia,30.0,Otto Wilhelm von Struve,http://www.wikidata.org/entity/Q58847,wd:Q58847,622595,Russian astronomer
1021,Estonia,29.0,Thomas Johann Seebeck,http://www.wikidata.org/entity/Q327185,wd:Q327185,88254,German physicist
1022,Estonia,28.0,Otto von Kotzebue,http://www.wikidata.org/entity/Q58828,wd:Q58828,183596,explorer
1023,Eswatini,10.0,Ngwane V,http://www.wikidata.org/entity/Q512692,wd:Q512692,831048,Paramount chief of Swaziland
1024,Eswatini,10.0,Mswati II,http://www.wikidata.org/entity/Q882710,wd:Q882710,842301,King of Swaziland
1025,Eswatini,9.0,Ferdinand Buchanan,http://www.wikidata.org/entity/Q3437252,wd:Q3437252,15677984,sport shooter (1888-1967)
1026,Eswatini,7.0,King Sobhuza I (Somhlolo),http://www.wikidata.org/entity/Q553051,wd:Q553051,2153006,King of Eswatini
1027,Eswatini,7.0,Mbandzeni,http://www.wikidata.org/entity/Q126294,wd:Q126294,5564224,King of Swaziland
