0,1,2,3,4,5
Malaysia,"3,147","1,955",4,3,"Brunei (2): 381ﾂkm (237ﾂmi)ﾂIndonesia: 1,782ﾂkm (1,107ﾂmi)ﾂThailand: 506ﾂkm (314ﾂmi)"
Maldives,0,0,0,0,
Mali,"7,243","4,501",7,7,"Algeria: 1,376ﾂkm (855ﾂmi)ﾂBurkina Faso: 1,000ﾂkm (620ﾂmi)ﾂCﾃｴte d'Ivoire: 532ﾂkm (331ﾂmi)ﾂGuinea: 858ﾂkm (533ﾂmi)ﾂMauritania: 2,237ﾂkm (1,390ﾂmi)ﾂNiger: 821ﾂkm (510ﾂmi)ﾂSenegal: 419ﾂkm (260ﾂmi)"
Malta,0,0,0,0,
Marshall Islands,0,0,0,0,
Mauritania,"5,074","3,153",4,4,"Algeria: 463ﾂkm (288ﾂmi)ﾂMali: 2,237ﾂkm (1,390ﾂmi)ﾂSenegal: 813ﾂkm (505ﾂmi)ﾂWestern Sahara:[5] 1,561ﾂkm (970ﾂmi)"
Mauritius,0,0,0,0,
Mexico,"4,353","2,705",3,3,"Belize: 250ﾂkm (160ﾂmi)ﾂGuatemala: 962ﾂkm (598ﾂmi)ﾂUnited States: 3,141ﾂkm (1,952ﾂmi)"
Micronesia,0,0,0,0,
Moldova,"1,389",863,2,2,Romania: 450ﾂkm (280ﾂmi)ﾂUkraine: 939ﾂkm (583ﾂmi)
Monaco,4.4,2.7,1,1,France: 4.4ﾂkm (2.7ﾂmi)
Mongolia,"8,220","5,110",2,2,"People's Republic of China: 4,677ﾂkm (2,906ﾂmi)ﾂRussia: 3,485ﾂkm (2,165ﾂmi)"
Montenegro,625,388,5,5,Albania: 172ﾂkm (107ﾂmi) ﾂBosnia and Herzegovina: 225ﾂkm (140ﾂmi) ﾂCroatia: 25ﾂkm (16ﾂmi) ﾂKosovo:[4] 79ﾂkm (49ﾂmi) ﾂSerbia: 124ﾂkm (77ﾂmi)
Morocco,"2,018","1,254",5,3,"Algeria: 1,559ﾂkm (969ﾂmi)ﾂWestern Sahara:[5] 443ﾂkm (275ﾂmi)ﾂSpain (3): 17ﾂkm (11ﾂmi)[37]"
Mozambique,"4,571","2,840",6,6,"Eswatini: 105ﾂkm (65ﾂmi)ﾂMalawi: 1,569ﾂkm (975ﾂmi)ﾂSouth Africa (2): 491ﾂkm (305ﾂmi)ﾂTanzania: 756ﾂkm (470ﾂmi)ﾂZambia: 419ﾂkm (260ﾂmi)ﾂZimbabwe: 1,231ﾂkm (765ﾂmi)"
